,importance
search_xian_shou_pc_all_lag3,2808449874.5
nhnbr_amount_new_house_transactions_nearby_sectors_lag3,2774580750.0
search_fang_di_chan_shui_pc_all_diff1,2755452777.0
nhnbr_total_price_per_unit_new_house_transactions_nearby_sectors_roll6_std,2746138353.5
nh_area_per_unit_new_house_transactions_roll3_max,2743986825.0
nhnbr_area_new_house_available_for_sale_nearby_sectors_pctchg12,2722529537.0
search_fang_jia_zou_shi_pc_all_lag12,2704224925.5
search_qu_ku_cun_pc_all_pctchg1,2654061423.0
nh_period_new_house_sell_through_diff3,2623048514.0
land_transaction_amount,2594718763.0
nhnbr_amount_new_house_transactions_nearby_sectors_lag2,2567668257.0
search_gou_fang_pc_all_lag1,2550796290.0
nh_area_per_unit_new_house_transactions_ewm_alpha0.5,2549966574.0
search_peng_hu_qu_pc_all_lag2,2511098518.0
search_er_shou_fang_shi_chang_pc_all_lag3,2464204148.0
nhnbr_area_new_house_available_for_sale_nearby_sectors_ewm_alpha0.5,2439503168.5
search_gong_ji_jin_yi_dong_all_pctchg3,2428384110.0
search_dai_kuan_li_lv_pc_all_lag1,2382722519.0
search_er_shou_fang_shi_chang_yi_dong_all_diff1,2381407337.0
search_qu_ku_cun_yi_dong_all_lag1,2367796652.0
po_num_pre_owned_house_transactions_pctchg1,2361035605.0
search_gou_fang_yi_dong_all_lag3,2329334801.0
search_qu_ku_cun_yi_dong_all_diff1,2267073971.5
search_shui_fei_pc_all_diff3,2258125543.0
nh_area_new_house_transactions_lag6,2210952020.5
search_xian_shou_pc_all_diff12,2210442573.0
search_peng_hu_qu_gai_zao_yi_dong_all,2206364190.5
nh_area_per_unit_new_house_transactions_lag1,2189455157.5
search_rong_zi_pc_all_lag1,2163812431.0
search_fang_di_chan_kai_fa_yi_dong_all_lag1,2147553491.5
search_fang_di_chan_shui_pc_all_lag6,2132522539.5
nhnbr_area_per_unit_new_house_transactions_nearby_sectors_lag2,2088222770.5
search_dai_kuan_li_lv_pc_all,2086081764.0
search_qi_shui_yi_dong_all_pctchg1,2042152382.0
